Gene,Xobs
YDR019C,0.339071
YDR020C,0.026915
YDR021W,0.109623
YDR022C,0.022869
YDR023W,2.822393
YDR025W,13.340733
YDR026C,0.016333
YDR027C,0.068096
YDR028C,0.147438
YDR030C,0.032101
YDR031W,0.181109
YDR032C,2.869017
YDR033W,7.422159
YDR034C,0.020251
YDR035W,1.482233
YDR036C,0.209172
YDR037W,2.636696
YDR038C,0.219201
YDR039C,0.676896
YDR040C,0.009765
YDR041W,0.317782
YDR042C,0.029619
YDR043C,0.022525
YDR044W,0.318412
YDR045C,0.548131
YDR046C,0.38906
YDR047W,0.431138
YDR049W,0.078422
YDR050C,64.699331
YDR051C,0.335411
YDR052C,0.022015
YDR054C,0.127069
YDR055W,1.811457
YDR056C,0.469694
YDR057W,0.095149
YDR058C,0.091694
YDR059C,0.199835
YDR060W,0.324903
YDR061W,0.154092
YDR062W,0.999773
YDR063W,0.516578
YDR064W,4.722341
YDR065W,0.005033
YDR066C,0.071469
YDR067C,0.061079
YDR068W,0.265583
YDR069C,0.014749
YDR070C,0.048168
YDR071C,1.324369
YDR072C,0.604528
YDR073W,0.00903
YDR074W,0.223411
YDR075W,0.048038
YDR076W,0.021426
YDR077W,11.127208
YDR078C,0.021756
YDR079W,0.323612
YDR080W,0.039336
YDR081C,0.014651
YDR082W,0.005025
YDR083W,0.437441
YDR084C,0.406912
YDR085C,0.020742
YDR086C,1.117109
YDR087C,0.37624
YDR088C,0.040214
YDR089W,0.050041
YDR090C,0.17519
YDR091C,0.570374
YDR092W,1.335837
YDR093W,0.062697
YDR096W,0.016367
YDR097C,0.157163
YDR098C,0.98613
YDR099W,1.194766
YDR100W,0.592455
YDR101C,0.62551
YDR103W,0.035334
YDR104C,0.006823
YDR105C,0.358518
YDR106W,0.035835
YDR107C,0.077223
YDR108W,0.034172
YDR109C,0.012516
YDR110W,0.081449
YDR111C,0.038379
YDR113C,0.091393
YDR115W,0.707379
YDR116C,0.210117
YDR117C,0.113193
YDR118W,0.013193
YDR119W,0.310171
YDR120C,0.482939
YDR121W,0.122409
YDR122W,0.035205
YDR123C,0.035768
YDR124W,0.013814
YDR125C,0.007199
YDR126W,0.026147
YDR127W,0.346216
YDR128W,0.022274
YDR129C,1.120229
YDR130C,0.068227
YDR131C,0.035746
YDR132C,0.02297
YDR135C,0.109454
YDR137W,0.045616
YDR138W,0.030231
YDR139C,1.39579
YDR140W,0.275813
YDR141C,0.048741
YDR142C,0.013657
YDR143C,0.086791
YDR144C,0.357583
YDR145W,0.191949
YDR146C,0.124491
YDR147W,0.055396
YDR148C,0.274579
YDR150W,0.046389
YDR151C,0.10641
YDR152W,0.471956
YDR153C,0.27997
YDR155C,11.972761
YDR156W,0.952949
YDR158W,1.850313
YDR159W,0.021169
YDR160W,0.014256
YDR161W,0.174864
YDR162C,0.195269
YDR163W,0.229243
YDR164C,0.082084
YDR165W,0.413539
